,Start Date,End Date,Duration(Days),State
857,/07/2000,/07/2000,Diffing the dates,ARUNACHAL PRADESH
858,2000-08-02,2000-08-30,28,ARUNACHAL PRADESH
859,2000-08-23,2000-08-31,8,ANDHRA PRADESH
860,2000-09-18,2000-10-21,33,BIHAR
861,2000-10-19,2000-10-19,0,WEST BENGAL
862,2001-06-05,2001-06-22,17,ASSAM
863,2001-07-08,2001-07-10,2,CHHATTISGARH
864,/06/2001,/06/2001,Diffing the dates,KERALA
865,2001-07-04,2001-07-16,12,KERALA
866,/08/2001,/08/2001,Diffing the dates,BIHAR
867,/08/2001,/08/2001,Diffing the dates,
868,2001-08-20,2001-08-20,0,BIHAR
869,/09/2001,/09/2001,Diffing the dates,BIHAR
870,2001-09-07,2001-09-24,17,BIHAR
871,2002-06-21,2002-08-28,68,ARUNACHAL PRADESH
872,2002-08-11,2002-08-13,2,ASSAM
873,2002-08-20,2002-08-20,0,MADHYA PRADESH
874,2002-09-03,2002-09-06,3,MAHARASHTRA
875,2002-10-10,2002-10-16,6,KERALA
876,2002-10-01,2002-10-01,0,TAMIL NADU
877,2003-06-11,2003-10-10,121,ASSAM
878,2003-07-15,2003-09-01,48,GUJARAT
879,2003-08-27,2003-10-20,54,
880,2003-07-16,2003-07-16,0,HIMACHAL PRADESH
881,2003-08-07,2003-08-07,0,HIMACHAL PRADESH
882,2003-09-10,2003-09-10,0,UTTAR PRADESH
883,2004-04-10,2004-04-14,4,
884,2004-06-20,/08/2004,Diffing the dates,ASSAM
885,2004-06-09,2004-06-11,2,KERALA
886,2004-09-20,2004-09-22,2,HIMACHAL PRADESH
887,2004-10-07,2004-10-18,11,ARUNACHAL PRADESH
888,2004-08-01,2004-09-08,38,MAHARASHTRA
889,2005-05-27,2005-05-27,0,NAGALAND
890,2005-06-28,2005-07-15,17,GUJARAT
891,2005-07-09,2005-07-09,0,MAHARASHTRA
892,2005-06-26,2005-06-29,3,HIMACHAL PRADESH
893,2005-07-07,2005-07-28,21,ARUNACHAL PRADESH
894,2005-07-02,2005-07-15,13,MADHYA PRADESH
895,2005-07-10,2005-07-10,0,ANDHRA PRADESH
896,2005-07-24,2005-08-05,12,HIMACHAL PRADESH
897,2005-08-26,2005-08-28,2,UTTAR PRADESH
898,2005-07-23,2005-08-16,24,KARNATAKA
899,2005-09-16,2005-09-19,3,HIMACHAL PRADESH
900,2005-09-14,2005-09-20,6,MADHYA PRADESH
901,2005-10-21,2005-10-24,3,WEST BENGAL
902,2005-09-22,2005-10-11,19,GUJARAT
903,2005-10-23,2005-11-13,21,KARNATAKA
904,2005-12-02,2005-12-03,1,TAMIL NADU
905,2005-07-05,2005-08-14,40,HIMACHAL PRADESH
906,2006-04-15,2006-04-18,3,ANDHRA PRADESH
907,2006-05-31,2006-07-24,54,ASSAM
908,2006-05-25,2006-06-02,8,KERALA
909,2006-05-31,2006-06-04,4,MAHARASHTRA
910,2006-06-24,2006-06-27,3,UTTAR PRADESH
911,2006-07-04,2006-07-07,3,GUJARAT
912,2006-07-03,2006-07-08,5,ODISHA
913,2006-07-24,2006-08-22,29,
914,2006-07-28,2006-09-12,46,KARNATAKA
915,/08/2006,/08/2006,Diffing the dates,GUJARAT
916,2006-08-18,2006-09-02,15,RAJASTHAN
917,2006-08-31,2006-09-11,11,PUNJAB
918,2006-08-29,2006-09-04,6,UTTAR PRADESH
919,2006-10-26,2006-11-04,9,TAMIL NADU
920,2006-08-01,2006-09-10,40,ANDHRA PRADESH
921,2006-03-09,2006-03-10,1,MADHYA PRADESH
922,2006-10-01,2006-10-01,0,MADHYA PRADESH
923,2007-06-18,2007-06-26,8,ASSAM
924,2007-07-01,2007-07-13,12,MADHYA PRADESH
925,2007-07-01,2007-07-06,5,MAHARASHTRA
926,2007-06-30,2007-07-13,13,CHHATTISGARH
927,2007-06-22,2007-07-04,12,KARNATAKA
928,2007-07-21,2007-08-03,13,TRIPURA
929,2007-07-03,2007-09-22,81,ASSAM
930,2007-08-12,2007-08-17,5,HIMACHAL PRADESH
931,2007-08-08,2007-08-15,7,GUJARAT
932,2007-09-22,2007-10-03,11,WEST BENGAL
933,2007-09-16,2007-10-07,21,KARNATAKA
934,2007-10-27,2007-11-01,5,TAMIL NADU
935,2007-08-03,2007-08-27,24,ODISHA
936,2007-07-12,2007-10-10,90,ARUNACHAL PRADESH
937,2007-07-16,2007-07-20,4,KERALA
938,2007-02-11,2007-02-16,5,MADHYA PRADESH
939,2008-03-20,2008-03-28,8,KARNATAKA
940,2008-06-11,2008-07-21,40,ARUNACHAL PRADESH
941,2008-07-05,2008-07-14,9,ASSAM
942,2008-09-05,2008-09-11,6,ANDHRA PRADESH
943,2008-09-14,2008-09-21,7,HIMACHAL PRADESH
944,2008-08-30,2008-09-08,9,ASSAM
945,2008-11-27,2008-12-04,7,TAMIL NADU
946,2008-07-20,2008-08-08,19,ASSAM
947,2009-07-29,2009-07-29,0,
